respondent_id,age,gender,nationality_region,emirate,education_level,field_of_study,target_industry,years_experience,career_stage,employment_status,monthly_income_aed,goal_type,primary_challenge,signup_channel,subscription_tier,months_active,sessions_attended,messages_sent,num_mentors,mentor_industry_match,mentor_match_score,avg_session_rating,response_time_hours,goals_completed,income_growth_pct,skills_gained,confidence_score,referred_friend,days_to_subscribe,churned,career_outcome
MM0056,25,Female,Western,Dubai,Master's,Business,Consulting,0.8,Student / Fresh Grad,Unemployed,0.0,Job Placement,Interview Preparation,Instagram,Free,13,7,18,1,No,54,3.3,8,3,-3.7,3,2.9,Yes,,,Positive
MM0057,27,Female,MENA (Arab),Dubai,Bachelor's,Healthcare,Technology / IT,4.0,Junior,Employed,10500.0,Salary Increase,Limited Professional Network,University Partnership,Free,6,1,0,1,Yes,71,3.6,13,1,10.4,0,6.7,No,,,Positive
MM0058,35,Male,East/SE Asian,Dubai,Bachelor's,Business,Hospitality & Tourism,0.2,Student / Fresh Grad,Student,0.0,Salary Increase,Limited Professional Network,Instagram,Free,16,13,73,1,Yes,67,3.3,2,2,27.2,5,6.6,No,,,Positive
MM0059,24,Female,South Asian,Dubai,Bachelor's,IT / Computer Science,Finance & Banking,2.5,Entry-Level,Employed,9800.0,Salary Increase,Limited Professional Network,LinkedIn,Premium,12,18,72,1,No,72,3.7,30,5,30.7,7,5.6,No,18.0,No,Positive
MM0060,33,Female,MENA (Arab),Abu Dhabi,Diploma,IT / Computer Science,Finance & Banking,2.8,Entry-Level,Unemployed,0.0,Promotion,Visa / Sponsorship,University Partnership,Free,6,3,5,1,Yes,57,3.0,20,0,-7.2,0,3.1,No,,,Limited
MM0061,20,Female,South Asian,Dubai,Bachelor's,Engineering,Hospitality & Tourism,4.5,Junior,Employed,10500.0,Job Placement,Career Direction,Instagram,Premium,12,15,32,3,Yes,74,3.0,6,4,29.8,7,7.2,No,1.0,No,Positive
MM0062,26,Male,South Asian,Dubai,Diploma,Finance,Technology / IT,1.0,Entry-Level,Underemployed,4700.0,Networking,Skills Gap,Instagram,Free,5,10,44,1,Yes,57,2.9,11,1,-9.7,2,3.5,No,,,Limited
MM0063,29,MALE,East/SE Asian,Dubai,Diploma,Arts & Humanities,Retail,2.9,Entry-Level,Employed,6300.0,Skill Development,Visa / Sponsorship,University Partnership,Free,3,2,19,1,Yes,37,2.8,29,1,10.8,1,3.8,No,,,Positive
MM0064,31,Male,South Asian,Dubai,Bachelor's,Engineering,Hospitality & Tourism,1.4,Entry-Level,Employed,6400.0,Salary Increase,Limited Professional Network,University Partnership,Free,6,11,23,1,Yes,61,2.8,40,4,19.4,4,7.5,No,,,Positive
MM0065,31,Male,South Asian,Dubai,Diploma,Finance,Finance & Banking,1.7,Entry-Level,Employed,8400.0,Career Switch,Limited Professional Network,Instagram,Free,10,9,28,2,No,52,2.5,4,2,-7.4,1,1.0,No,,,Limited
MM0066,32,Female,South Asian,Abu Dhabi,Diploma,Arts & Humanities,Finance & Banking,1.8,Entry-Level,Employed,12200.0,Job Placement,Visa / Sponsorship,LinkedIn,Basic,7,6,13,1,Yes,65,3.7,10,2,12.8,1,5.5,No,18.0,Yes,Positive
MM0067,26,Female,MENA (Arab),Dubai,Bachelor's,Marketing,Marketing & Media,2.6,Entry-Level,Employed,6800.0,Salary Increase,Limited Professional Network,Instagram,Free,1,5,25,1,Yes,61,4.1,18,1,-15.0,4,3.3,Yes,,,Limited
MM0068,26,Male,Western,Sharjah,Bachelor's,Business,Technology / IT,5.4,Junior,Employed,12400.0,Networking,Limited Professional Network,LinkedIn,Free,20,3,6,1,Yes,67,3.8,29,2,35.7,1,3.9,No,,,Limited
MM0069,32,Female,East/SE Asian,Dubai,Diploma,Other,Technology / IT,3.3,Junior,Underemployed,6800.0,Job Placement,Limited Professional Network,Instagram,Free,10,4,13,1,Yes,70,3.3,22,1,8.2,1,4.5,No,,,Limited
MM0070,27,Male,South Asian,Dubai,Diploma,Business,Real Estate,5.8,Junior,Employed,12400.0,Skill Development,Visa / Sponsorship,LinkedIn,Basic,6,7,34,3,Yes,60,2.6,15,5,50.2,6,5.8,Yes,15.0,No,Positive
MM0071,22,Female,MENA (Arab),Sharjah,Bachelor's,Finance,Technology / IT,2.9,Entry-Level,Employed,9200.0,Job Placement,Salary Negotiation,Referral,Basic,7,14,77,1,No,52,3.4,9,4,29.3,5,4.8,No,13.0,No,Positive
MM0072,23,Male,MENA (Arab),Dubai,Bachelor's,Finance,Healthcare,13.0,Mid-Level,Employed,34400.0,Promotion,Limited Professional Network,Google Search,Premium,11,20,71,1,Yes,87,2.9,1,4,20.6,6,8.4,No,3.0,No,Positive
MM0073,24,Female,MENA (Arab),Dubai,Master's,Healthcare,Hospitality & Tourism,2.4,Entry-Level,Underemployed,4000.0,Career Switch,Interview Preparation,University Partnership,Free,6,0,0,0,Yes,0,0.0,15,0,-4.8,0,1.0,No,,,Limited
MM0074,30,Female,MENA (Arab),Ajman,Master's,Business,Finance & Banking,2.0,Entry-Level,Employed,10100.0,Career Switch,Interview Preparation,Google Search,Free,15,3,23,1,Yes,74,3.2,11,1,3.8,2,4.8,No,,,Positive
MM0075,29,Male,South Asian,Ajman,Bachelor's,Business,Marketing & Media,2.2,Entry-Level,Unemployed,0.0,Job Placement,Career Direction,LinkedIn,Premium,11,12,58,1,Yes,92,2.7,1,2,24.1,2,6.0,Yes,8.0,No,Positive
MM0076,31,Male,MENA (Arab),Abu Dhabi,Bachelor's,Marketing,Real Estate,2.6,Entry-Level,Employed,7800.0,Job Placement,Limited Professional Network,LinkedIn,Free,7,8,54,1,Yes,84,4.4,40,2,2.7,2,5.8,No,,,Positive
MM0077,26,Female,MENA (Arab),Dubai,Master's,Business,Healthcare,1.5,Entry-Level,Employed,6500.0,Promotion,Salary Negotiation,Instagram,Premium,5,5,28,2,Yes,77,3.0,6,1,-3.6,0,4.6,Yes,12.0,No,Positive
MM0078,29,Male,MENA (Arab),Abu Dhabi,Bachelor's,IT / Computer Science,Finance & Banking,3.4,Junior,Employed,13800.0,Job Placement,Career Direction,LinkedIn,Premium,4,16,73,1,No,82,3.5,14,3,-2.7,3,3.7,Yes,9.0,No,Limited
MM0079,31,Male,MENA (Arab),Ras Al Khaimah,Bachelor's,Marketing,Healthcare,3.4,Junior,Employed,7300.0,Promotion,Career Direction,LinkedIn,Basic,13,4,19,1,Yes,63,3.4,7,0,19.1,0,5.8,No,7.0,No,Positive
MM0080,27,Female,Western,Ajman,Diploma,Finance,Technology / IT,3.4,Junior,Employed,9300.0,Promotion,Salary Negotiation,Google Search,Free,11,5,21,1,Yes,84,3.5,5,2,3.1,3,3.4,No,,,Limited
MM0081,30,Female,Western,Dubai,Bachelor's,Business,Hospitality & Tourism,1.0,Entry-Level,Underemployed,2800.0,Skill Development,Limited Professional Network,Instagram,Free,3,0,0,0,No,0,0.0,23,1,-15.0,1,1.0,No,,,Limited
MM0082,25,Male,South Asian,Dubai,Bachelor's,Engineering,Technology / IT,5.0,Junior,Underemployed,10600.0,Skill Development,Career Direction,LinkedIn,Basic,4,7,20,1,Yes,76,3.2,37,3,11.2,4,4.2,No,7.0,No,Positive
MM0083,26,Male,Western,Dubai,Diploma,Other,Retail,1.7,Entry-Level,Employed,5000.0,Job Placement,Salary Negotiation,Instagram,Basic,16,18,71,1,No,68,3.7,25,3,22.9,5,5.8,No,4.0,No,Positive
MM0084,26,Male,East/SE Asian,Dubai,Bachelor's,IT / Computer Science,Technology / IT,1.9,Entry-Level,Underemployed,5800.0,Job Placement,Limited Professional Network,University Partnership,Free,2,0,8,0,No,0,0.0,19,0,-15.0,0,1.0,No,,,Limited
MM0085,22,Female,South Asian,Abu Dhabi,Bachelor's,Business,Construction,1.9,Entry-Level,Employed,6700.0,Networking,Limited Professional Network,Referral,Basic,3,7,39,2,Yes,61,2.7,7,1,12.6,1,4.9,No,3.0,No,Positive
MM0086,30,Male,MENA (Arab),Dubai,Bachelor's,Business,Construction,0.1,Student / Fresh Grad,Unemployed,0.0,Networking,Career Direction,LinkedIn,Free,2,0,0,0,No,0,0.0,17,0,-15.0,0,1.0,Yes,,,Limited
MM0087,26,Male,South Asian,Dubai,Bachelor's,Engineering,Real Estate,3.0,Junior,Unemployed,0.0,Salary Increase,Limited Professional Network,Instagram,Free,7,6,22,1,Yes,65,3.0,23,3,-0.1,4,6.2,No,,,Positive
MM0088,28,Male,Western,Dubai,Bachelor's,Other,Technology / IT,8.7,Mid-Level,Employed,24500.0,Salary Increase,Salary Negotiation,University Partnership,Premium,23,23,70,3,Yes,99,3.3,2,6,57.1,10,9.3,No,2.0,No,Positive
MM0089,30,Female,South Asian,Dubai,Bachelor's,Engineering,Real Estate,1.8,Entry-Level,Employed,5400.0,Skill Development,Skills Gap,LinkedIn,Free,3,10,17,1,No,41,3.3,22,2,-15.0,3,1.4,No,,,Limited
MM0090,30,Male,MENA (Arab),Dubai,Bachelor's,Business,Retail,1.8,Entry-Level,Employed,6000.0,Salary Increase,Interview Preparation,Referral,Free,12,8,19,1,No,64,3.3,12,2,14.2,4,2.8,No,,,Limited
MM0091,31,Female,South Asian,Dubai,Diploma,IT / Computer Science,Healthcare,7.5,Mid-Level,Employed,15600.0,Career Switch,Limited Professional Network,Referral,Premium,9,11,34,1,Yes,78,,1,3,40.7,4,6.1,No,5.0,No,Positive
MM0092,28,Female,MENA (Arab),Dubai,Master's,Business,Healthcare,1.5,Entry-Level,Unemployed,0.0,Networking,Interview Preparation,Referral,Basic,2,10,44,2,Yes,68,3.7,2,4,19.8,4,4.4,Yes,6.0,Yes,Positive
MM0093,26,Female,African,Ajman,Bachelor's,Engineering,Finance & Banking,6.8,Mid-Level,Employed,20400.0,Salary Increase,Skills Gap,LinkedIn,Premium,7,14,67,1,No,67,2.8,4,5,21.7,7,5.6,Yes,3.0,No,Positive
MM0094,28,Female,South Asian,Dubai,Diploma,Other,Logistics & Supply Chain,2.6,Entry-Level,Employed,6600.0,Networking,Career Direction,University Partnership,Free,11,7,36,1,No,47,3.6,15,2,9.7,5,5.3,No,,,Positive
MM0095,20,Female,East/SE Asian,Dubai,Bachelor's,Marketing,Finance & Banking,0.8,Student / Fresh Grad,Underemployed,4500.0,Career Switch,Limited Professional Network,Instagram,Free,10,9,41,1,No,54,3.5,27,3,-3.3,4,4.3,No,,,Limited
MM0096,21,Female,African,Dubai,Master's,Business,Finance & Banking,4.2,Junior,Employed,13000.0,Career Switch,Limited Professional Network,LinkedIn,Basic,5,5,33,1,Yes,67,3.2,13,1,-3.1,1,3.6,No,5.0,No,Limited
MM0097,22,Male,East/SE Asian,Dubai,Master's,IT / Computer Science,Technology / IT,2.2,Entry-Level,Unemployed,0.0,Career Switch,Limited Professional Network,LinkedIn,Free,9,8,48,1,No,37,3.1,3,2,12.8,3,3.1,No,,,Limited
MM0098,23,Female,South Asian,Dubai,Master's,Business,Hospitality & Tourism,2.4,Entry-Level,Employed,5200.0,Career Switch,Limited Professional Network,Instagram,Free,5,4,17,1,No,48,3.7,23,1,6.7,2,4.4,No,,,Limited
MM0099,30,Male,Western,Dubai,Bachelor's,Business,Construction,4.5,Junior,Employed,8000.0,Networking,Career Direction,LinkedIn,Basic,9,11,46,4,Yes,75,3.4,7,4,19.3,7,8.5,No,2.0,No,Positive
MM0100,24,Male,South Asian,Dubai,Bachelor's,Finance,Marketing & Media,2.2,Entry-Level,Student,0.0,Skill Development,Limited Professional Network,Google Search,Free,12,9,51,1,Yes,49,4.3,4,2,18.3,4,4.2,Yes,,,Positive
MM0101,26,Female,South Asian,Dubai,Bachelor's,IT / Computer Science,Technology / IT,1.2,Entry-Level,Unemployed,0.0,Job Placement,Limited Professional Network,Google Search,Basic,5,16,70,1,Yes,76,4.4,19,4,16.4,5,5.9,No,1.0,No,Positive
MM0102,34,Female,East/SE Asian,Abu Dhabi,Bachelor's,Marketing,Real Estate,7.6,Mid-Level,Underemployed,8700.0,Skill Development,Salary Negotiation,LinkedIn,Basic,6,9,27,2,No,70,3.6,21,3,10.8,5,3.9,Yes,7.0,No,Positive
MM0103,26,Female,MENA (Arab),Dubai,Bachelor's,Arts & Humanities,Marketing & Media,5.9,Junior,Unemployed,0.0,Career Switch,Visa / Sponsorship,Google Search,Basic,14,12,40,1,No,72,3.5,12,2,3.0,4,5.3,No,8.0,No,Positive
MM0104,32,Male,MENA (Arab),Dubai,Bachelor's,Engineering,Hospitality & Tourism,2.8,Entry-Level,Employed,6800.0,Promotion,Limited Professional Network,University Partnership,Basic,20,22,57,1,Yes,74,3.5,14,5,28.7,8,5.3,Yes,3.0,No,Positive
MM0105,24,Male,South Asian,Abu Dhabi,Bachelor's,Arts & Humanities,Technology / IT,1.7,Entry-Level,Employed,7500.0,Career Switch,Interview Preparation,LinkedIn,Free,10,10,44,1,No,34,2.8,15,1,2.1,3,1.6,No,,,Limited
MM0106,27,Male,Western,Dubai,Master's,IT / Computer Science,Real Estate,0.3,Student / Fresh Grad,Student,0.0,Promotion,Visa / Sponsorship,Referral,Free,7,7,29,1,Yes,68,3.6,22,3,18.0,4,4.7,No,,,Positive
MM0107,23,Male,Western,Dubai,Bachelor's,Engineering,Healthcare,0.1,Student / Fresh Grad,Underemployed,3000.0,Skill Development,Salary Negotiation,University Partnership,Free,10,7,36,1,No,59,3.8,12,1,12.2,2,3.8,No,,,Positive
MM0108,26,Male,MENA (Arab),Dubai,Diploma,Healthcare,Retail,5.2,Junior,Employed,6300.0,Skill Development,Interview Preparation,Google Search,Free,4,8,14,1,No,44,2.6,1,1,-15.0,2,1.9,No,,,Limited
